,RealTime,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
,2017-05-09 17:00:09.155,133155,WeSU @31A190,1478,36FFCFFFCB03,-202,-49,971
,2017-05-09 17:00:09.252,133252,WeSU @31A190,1479,35FFCEFFCD03,-203,-50,973
,2017-05-09 17:00:09.349,133349,WeSU @31A190,1480,35FFCCFFCC03,-203,-52,972
,2017-05-09 17:00:09.463,133463,WeSU @31A190,1481,35FFCFFFCB03,-203,-49,971
,2017-05-09 17:00:09.561,133561,WeSU @31A190,1482,35FFCDFFCC03,-203,-51,972
,2017-05-09 17:00:09.658,133658,WeSU @31A190,1483,35FFCEFFCB03,-203,-50,971
,2017-05-09 17:00:09.760,133760,WeSU @31A190,1484,35FFCDFFCB03,-203,-51,971
,2017-05-09 17:00:09.853,133853,WeSU @31A190,1485,36FFCEFFCA03,-202,-50,970
,2017-05-09 17:00:10.097,134097,WeSU @31A190,1486,36FFCEFFCD03,-202,-50,973
,2017-05-09 17:00:10.162,134162,WeSU @31A190,1487,35FFCDFFCF03,-203,-51,975
,2017-05-09 17:00:10.276,134276,WeSU @31A190,1488,34FFCEFFCC03,-204,-50,972
,2017-05-09 17:00:10.373,134373,WeSU @31A190,1489,37FFCDFFCB03,-201,-51,971
,2017-05-09 17:00:10.471,134471,WeSU @31A190,1490,34FFCCFFC903,-204,-52,969
,2017-05-09 17:00:10.569,134569,WeSU @31A190,1491,34FFCCFFCE03,-204,-52,974
,2017-05-09 17:00:10.698,134698,WeSU @31A190,1492,32FFCBFFCF03,-206,-53,975
,2017-05-09 17:00:10.796,134796,WeSU @31A190,1493,35FFCEFFCC03,-203,-50,972
,2017-05-09 17:00:10.893,134893,WeSU @31A190,1494,33FFCEFFCE03,-205,-50,974
,2017-05-09 17:00:10.991,134991,WeSU @31A190,1495,35FFCEFFCB03,-203,-50,971
,2017-05-09 17:00:11.088,135088,WeSU @31A190,1496,34FFCEFFCC03,-204,-50,972
,2017-05-09 17:00:11.186,135186,WeSU @31A190,1497,35FFCEFFCA03,-203,-50,970
,2017-05-09 17:00:11.284,135284,WeSU @31A190,1498,37FFCDFFCC03,-201,-51,972
,2017-05-09 17:00:11.397,135397,WeSU @31A190,1499,35FFCFFFCA03,-203,-49,970
,2017-05-09 17:00:11.494,135494,WeSU @31A190,1500,35FFCEFFCC03,-203,-50,972
,2017-05-09 17:00:11.592,135592,WeSU @31A190,1501,36FFCDFFCE03,-202,-51,974
,2017-05-09 17:00:11.690,135690,WeSU @31A190,1502,35FFCEFFCB03,-203,-50,971
,2017-05-09 17:00:11.787,135787,WeSU @31A190,1503,35FFCEFFCC03,-203,-50,972
,2017-05-09 17:00:11.885,135885,WeSU @31A190,1504,36FFCCFFCC03,-202,-52,972
,2017-05-09 17:00:11.999,135999,WeSU @31A190,1505,36FFD1FFCA03,-202,-47,970
,2017-05-09 17:00:12.096,136096,WeSU @31A190,1506,33FFCCFFCD03,-205,-52,973
,2017-05-09 17:00:12.193,136193,WeSU @31A190,1507,37FFCDFFCB03,-201,-51,971
,2017-05-09 17:00:12.291,136291,WeSU @31A190,1508,35FFCFFFCA03,-203,-49,970
,2017-05-09 17:00:12.405,136405,WeSU @31A190,1509,35FFCDFFCC03,-203,-51,972
,2017-05-09 17:00:12.486,136486,WeSU @31A190,1510,35FFCBFFCD03,-203,-53,973
,2017-05-09 17:00:12.584,136584,WeSU @31A190,1511,34FFCEFFCC03,-204,-50,972
,2017-05-09 17:00:12.697,136697,WeSU @31A190,1512,35FFD0FFCC03,-203,-48,972
,2017-05-09 17:00:12.795,136795,WeSU @31A190,1513,36FFCDFFCB03,-202,-51,971
,2017-05-09 17:00:12.892,136892,WeSU @31A190,1514,34FFCDFFCC03,-204,-51,972
,2017-05-09 17:00:12.990,136990,WeSU @31A190,1515,36FFCFFFCC03,-202,-49,972
,2017-05-09 17:00:13.087,137087,WeSU @31A190,1516,35FFCDFFCB03,-203,-51,971
,2017-05-09 17:00:13.185,137185,WeSU @31A190,1517,36FFCEFFCD03,-202,-50,973
,2017-05-09 17:00:13.299,137299,WeSU @31A190,1518,35FFCDFFCC03,-203,-51,972
,2017-05-09 17:00:13.396,137396,WeSU @31A190,1519,36FFCDFFCC03,-202,-51,972
,2017-05-09 17:00:13.494,137494,WeSU @31A190,1520,36FFCEFFCD03,-202,-50,973
,2017-05-09 17:00:13.590,137590,WeSU @31A190,1521,36FFCFFFCD03,-202,-49,973
,2017-05-09 17:00:13.689,137689,WeSU @31A190,1522,35FFCEFFCA03,-203,-50,970
,2017-05-09 17:00:13.786,137786,WeSU @31A190,1523,35FFCFFFCA03,-203,-49,970
,2017-05-09 17:00:13.884,137884,WeSU @31A190,1524,36FFCDFFCB03,-202,-51,971
,2017-05-09 17:00:13.997,137997,WeSU @31A190,1525,35FFCEFFCB03,-203,-50,971
,2017-05-09 17:00:14.095,138095,WeSU @31A190,1526,36FFCEFFCD03,-202,-50,973
,2017-05-09 17:00:14.192,138192,WeSU @31A190,1527,36FFCEFFCC03,-202,-50,972
,2017-05-09 17:00:14.290,138290,WeSU @31A190,1528,35FFCDFFCB03,-203,-51,971
,2017-05-09 17:00:14.387,138387,WeSU @31A190,1529,36FFCEFFCB03,-202,-50,971
,2017-05-09 17:00:14.485,138485,WeSU @31A190,1530,35FFCEFFCB03,-203,-50,971
,2017-05-09 17:00:14.598,138598,WeSU @31A190,1531,36FFCEFFCC03,-202,-50,972
,2017-05-09 17:00:14.696,138696,WeSU @31A190,1532,36FFCDFFCB03,-202,-51,971
,2017-05-09 17:00:14.793,138793,WeSU @31A190,1533,35FFCEFFCD03,-203,-50,973
,2017-05-09 17:00:14.891,138891,WeSU @31A190,1534,36FFCEFFCC03,-202,-50,972
,2017-05-09 17:00:14.988,138988,WeSU @31A190,1535,35FFCEFFCB03,-203,-50,971
,2017-05-09 17:00:15.086,139086,WeSU @31A190,1536,36FFCFFFCC03,-202,-49,972
,2017-05-09 17:00:15.184,139184,WeSU @31A190,1537,35FFCDFFCD03,-203,-51,973
,2017-05-09 17:00:15.297,139297,WeSU @31A190,1538,37FFCEFFC903,-201,-50,969
,2017-05-09 17:00:15.394,139394,WeSU @31A190,1539,35FFCFFFCC03,-203,-49,972
,2017-05-09 17:00:15.492,139492,WeSU @31A190,1540,34FFCCFFCB03,-204,-52,971
,2017-05-09 17:00:15.590,139590,WeSU @31A190,1541,36FFD0FFCB03,-202,-48,971
,2017-05-09 17:00:15.687,139687,WeSU @31A190,1542,34FFCFFFCA03,-204,-49,970
,2017-05-09 17:00:15.785,139785,WeSU @31A190,1543,37FFCDFFCB03,-201,-51,971
,2017-05-09 17:00:15.899,139899,WeSU @31A190,1544,36FFCEFFCC03,-202,-50,972
,2017-05-09 17:00:15.996,139996,WeSU @31A190,1545,35FFCDFFCB03,-203,-51,971
,2017-05-09 17:00:16.094,140094,WeSU @31A190,1546,33FFCEFFCB03,-205,-50,971
,2017-05-09 17:00:16.191,140191,WeSU @31A190,1547,36FFCCFFCC03,-202,-52,972
,2017-05-09 17:00:16.289,140289,WeSU @31A190,1548,36FFD0FFCD03,-202,-48,973
,2017-05-09 17:00:16.386,140386,WeSU @31A190,1549,35FFCDFFCA03,-203,-51,970
,2017-05-09 17:00:16.484,140484,WeSU @31A190,1550,36FFCDFFCB03,-202,-51,971
,2017-05-09 17:00:16.597,140597,WeSU @31A190,1551,36FFD0FFCB03,-202,-48,971
,2017-05-09 17:00:16.694,140694,WeSU @31A190,1552,35FFCEFFCC03,-203,-50,972
,2017-05-09 17:00:16.793,140793,WeSU @31A190,1553,36FFCDFFCC03,-202,-51,972
,2017-05-09 17:00:16.890,140890,WeSU @31A190,1554,34FFCEFFCC03,-204,-50,972
,2017-05-09 17:00:16.987,140987,WeSU @31A190,1555,35FFCEFFCC03,-203,-50,972
,2017-05-09 17:00:17.085,141085,WeSU @31A190,1556,35FFCFFFCC03,-203,-49,972
,2017-05-09 17:00:17.198,141198,WeSU @31A190,1557,37FFCDFFCA03,-201,-51,970
,2017-05-09 17:00:17.296,141296,WeSU @31A190,1558,37FFCFFFCC03,-201,-49,972
,2017-05-09 17:00:17.393,141393,WeSU @31A190,1559,35FFCDFFCB03,-203,-51,971
,2017-05-09 17:00:17.491,141491,WeSU @31A190,1560,35FFCDFFCD03,-203,-51,973
,2017-05-09 17:00:17.589,141589,WeSU @31A190,1561,36FFCEFFCC03,-202,-50,972
,2017-05-09 17:00:17.686,141686,WeSU @31A190,1562,36FFCDFFCB03,-202,-51,971
,2017-05-09 17:00:17.784,141784,WeSU @31A190,1563,36FFCFFFCC03,-202,-49,972
,2017-05-09 17:00:17.897,141897,WeSU @31A190,1564,35FFCBFFCC03,-203,-53,972
,2017-05-09 17:00:17.995,141995,WeSU @31A190,1565,36FFCFFFCB03,-202,-49,971
,2017-05-09 17:00:18.108,142108,WeSU @31A190,1566,36FFCEFFCB03,-202,-50,971
,2017-05-09 17:00:18.190,142190,WeSU @31A190,1567,35FFCBFFD403,-203,-53,980
,2017-05-09 17:00:18.287,142287,WeSU @31A190,1568,35FFCCFFCD03,-203,-52,973
